cohort,seed,mode,iteration,objective_value,best_objective,students_served,temperature
100,42,Mode C,250.0,919689.88,919689.88,95.0,6.404997
100,456,Mode A,10.0,779764.05,779764.05,81.0,817.072807
100,456,Mode A,20.0,779764.05,779764.05,81.0,667.607972
100,456,Mode A,30.0,839763.48,839763.48,87.0,545.484319
100,456,Mode A,40.0,869759.81,869759.81,90.0,445.700404
100,456,Mode A,50.0,879763.08,879763.08,91.0,364.16968
100,456,Mode A,60.0,879763.08,879763.08,91.0,297.553143
100,456,Mode A,70.0,879763.08,879763.08,91.0,243.122581
100,456,Mode A,80.0,879763.08,879763.08,91.0,198.64885
100,456,Mode A,90.0,879763.08,879763.08,91.0,162.310574
100,456,Mode A,100.0,879763.08,879763.08,91.0,132.619556
100,456,Mode A,110.0,879763.08,879763.08,91.0,108.359833
100,456,Mode A,120.0,889755.13,889755.13,92.0,88.537873
100,456,Mode A,130.0,889755.13,889755.13,92.0,72.341888
100,456,Mode A,140.0,909751.35,909751.35,94.0,59.10859
100,456,Mode A,150.0,909751.35,909751.35,94.0,48.296021
100,456,Mode A,160.0,909751.35,909751.35,94.0,39.461366
100,456,Mode A,170.0,909762.67,909762.67,94.0,32.242809
100,456,Mode A,180.0,919760.23,919760.23,95.0,26.344722
100,456,Mode A,190.0,919760.23,919760.23,95.0,21.525556
100,456,Mode A,200.0,919760.23,919760.23,95.0,17.587947
100,456,Mode A,210.0,919760.23,919760.23,95.0,14.370633
100,456,Mode A,220.0,919760.23,919760.23,95.0,11.741853
100,456,Mode A,230.0,919760.23,919760.23,95.0,9.593949
100,456,Mode A,240.0,919760.23,919760.23,95.0,7.838955
100,456,Mode A,250.0,919760.23,919760.23,95.0,6.404997
100,456,Mode A,260.0,919760.23,919760.23,95.0,5.233349
100,456,Mode A,270.0,919760.23,919760.23,95.0,4.276027
100,456,Mode B,10.0,694827.0,694827.0,72.0,817.072807
100,456,Mode B,20.0,824831.91,824831.91,85.0,667.607972
100,456,Mode B,30.0,914836.34,914836.34,94.0,545.484319
100,456,Mode B,40.0,914836.34,914836.34,94.0,445.700404
100,456,Mode B,50.0,914836.34,914836.34,94.0,364.16968
100,456,Mode B,60.0,944827.76,944827.76,97.0,297.553143
100,456,Mode B,70.0,944827.76,944827.76,97.0,243.122581
100,456,Mode B,80.0,944827.76,944827.76,97.0,198.64885
100,456,Mode B,90.0,944827.76,944827.76,97.0,162.310574
100,456,Mode B,100.0,944827.76,944827.76,97.0,132.619556
100,456,Mode B,110.0,944827.76,944827.76,97.0,108.359833
100,456,Mode B,120.0,954828.61,954828.61,98.0,88.537873
100,456,Mode B,130.0,954828.61,954828.61,98.0,72.341888
100,456,Mode B,140.0,954828.61,954828.61,98.0,59.10859
100,456,Mode B,150.0,954828.61,954828.61,98.0,48.296021
100,456,Mode B,160.0,954828.61,954828.61,98.0,39.461366
100,456,Mode B,170.0,954828.61,954828.61,98.0,32.242809
100,456,Mode B,180.0,954828.61,954828.61,98.0,26.344722
100,456,Mode B,190.0,954828.61,954828.61,98.0,21.525556
100,456,Mode B,200.0,954828.61,954828.61,98.0,17.587947
100,456,Mode B,210.0,954828.61,954828.61,98.0,14.370633
100,456,Mode C,10.0,669738.67,669738.67,70.0,817.072807
100,456,Mode C,20.0,719738.63,719738.63,75.0,667.607972
100,456,Mode C,30.0,759735.46,759735.46,79.0,545.484319
100,456,Mode C,40.0,759735.46,759735.46,79.0,445.700404
100,456,Mode C,50.0,789739.72,789739.72,82.0,364.16968
100,456,Mode C,60.0,819738.67,819738.67,85.0,297.553143
100,456,Mode C,70.0,829740.26,829740.26,86.0,243.122581
100,456,Mode C,80.0,829740.26,829740.26,86.0,198.64885
100,456,Mode C,90.0,879729.03,879729.03,91.0,162.310574
100,456,Mode C,100.0,879729.03,879729.03,91.0,132.619556
100,456,Mode C,110.0,879729.03,879729.03,91.0,108.359833
100,456,Mode C,120.0,879729.03,879729.03,91.0,88.537873
100,456,Mode C,130.0,879729.03,879729.03,91.0,72.341888
100,456,Mode C,140.0,879729.03,879729.03,91.0,59.10859
100,456,Mode C,150.0,889715.49,889715.49,92.0,48.296021
100,456,Mode C,160.0,889715.49,889715.49,92.0,39.461366
100,456,Mode C,170.0,889715.49,889715.49,92.0,32.242809
100,456,Mode C,180.0,889715.49,889715.49,92.0,26.344722
100,456,Mode C,190.0,889727.38,889727.38,92.0,21.525556
100,456,Mode C,200.0,909728.28,909728.28,94.0,17.587947
100,456,Mode C,210.0,909728.28,909728.28,94.0,14.370633
100,456,Mode C,220.0,919726.33,919726.33,95.0,11.741853
100,456,Mode C,230.0,919726.33,919726.33,95.0,9.593949
100,456,Mode C,240.0,919726.33,919726.33,95.0,7.838955
100,456,Mode C,250.0,919726.33,919726.33,95.0,6.404997
100,456,Mode C,260.0,919726.33,919726.33,95.0,5.233349
100,456,Mode C,270.0,919726.33,919726.33,95.0,4.276027
100,456,Mode C,280.0,919726.33,919726.33,95.0,3.493825
100,456,Mode C,290.0,919726.33,919726.33,95.0,2.85471
100,456,Mode C,300.0,919726.33,919726.33,95.0,2.332506
100,456,Mode C,310.0,919726.33,919726.33,95.0,1.905827
100,67,Mode A,10.0,839772.58,839772.58,87.0,817.072807
100,67,Mode A,20.0,869769.71,869769.71,90.0,667.607972
100,67,Mode A,30.0,879770.18,879770.18,91.0,545.484319
100,67,Mode A,40.0,939775.15,939775.15,97.0,445.700404
100,67,Mode A,50.0,939775.15,939775.15,97.0,364.16968
100,67,Mode A,60.0,939775.15,939775.15,97.0,297.553143
100,67,Mode A,70.0,939775.15,939775.15,97.0,243.122581
100,67,Mode A,80.0,939775.15,939775.15,97.0,198.64885
100,67,Mode A,90.0,949775.8,949775.8,98.0,162.310574
100,67,Mode A,100.0,949775.8,949775.8,98.0,132.619556
100,67,Mode A,110.0,949775.8,949775.8,98.0,108.359833
100,67,Mode A,120.0,959777.85,959777.85,99.0,88.537873
100,67,Mode A,130.0,959777.85,959777.85,99.0,72.341888
100,67,Mode A,140.0,959777.85,959777.85,99.0,59.10859
100,67,Mode A,150.0,959777.85,959777.85,99.0,48.296021
100,67,Mode A,160.0,959777.85,959777.85,99.0,39.461366
100,67,Mode A,170.0,959777.85,959777.85,99.0,32.242809
100,67,Mode A,180.0,959777.85,959777.85,99.0,26.344722
100,67,Mode A,190.0,969776.51,969776.51,100.0,21.525556
100,67,Mode A,200.0,969776.51,969776.51,100.0,17.587947
100,67,Mode A,210.0,969776.51,969776.51,100.0,14.370633
100,67,Mode A,220.0,969776.51,969776.51,100.0,11.741853
100,67,Mode A,230.0,969776.51,969776.51,100.0,9.593949
100,67,Mode A,240.0,969776.51,969776.51,100.0,7.838955
100,67,Mode A,250.0,969776.51,969776.51,100.0,6.404997
100,67,Mode A,260.0,969776.51,969776.51,100.0,5.233349
100,67,Mode A,270.0,969776.51,969776.51,100.0,4.276027
100,67,Mode A,280.0,969776.51,969776.51,100.0,3.493825
100,67,Mode B,10.0,884833.92,884833.92,91.0,817.072807
100,67,Mode B,20.0,914835.1,914835.1,94.0,667.607972
100,67,Mode B,30.0,914835.1,914835.1,94.0,545.484319
100,67,Mode B,40.0,924834.85,924834.85,95.0,445.700404
100,67,Mode B,50.0,934836.72,934836.72,96.0,364.16968
100,67,Mode B,60.0,934836.72,934836.72,96.0,297.553143
100,67,Mode B,70.0,944832.81,944832.81,97.0,243.122581
100,67,Mode B,80.0,944832.81,944832.81,97.0,198.64885
100,67,Mode B,90.0,944832.81,944832.81,97.0,162.310574
100,67,Mode B,100.0,944832.81,944832.81,97.0,132.619556
100,67,Mode B,110.0,944832.81,944832.81,97.0,108.359833
100,67,Mode B,120.0,954838.62,954838.62,98.0,88.537873
100,67,Mode B,130.0,954838.62,954838.62,98.0,72.341888
100,67,Mode B,140.0,954838.62,954838.62,98.0,59.10859
100,67,Mode B,150.0,954838.62,954838.62,98.0,48.296021
100,67,Mode B,160.0,964831.96,964831.96,99.0,39.461366
100,67,Mode B,170.0,964831.96,964831.96,99.0,32.242809
100,67,Mode B,180.0,964831.96,964831.96,99.0,26.344722
100,67,Mode B,190.0,964831.96,964831.96,99.0,21.525556
100,67,Mode B,200.0,974833.97,974833.97,100.0,17.587947
100,67,Mode B,210.0,974833.97,974833.97,100.0,14.370633
100,67,Mode B,220.0,974833.97,974833.97,100.0,11.741853
100,67,Mode C,10.0,749750.17,749750.17,78.0,817.072807
100,67,Mode C,20.0,869737.03,869737.03,90.0,667.607972
100,67,Mode C,30.0,869737.03,869737.03,90.0,545.484319
100,67,Mode C,40.0,869737.03,869737.03,90.0,445.700404
100,67,Mode C,50.0,869737.03,869737.03,90.0,364.16968
100,67,Mode C,60.0,869737.03,869737.03,90.0,297.553143
100,67,Mode C,70.0,899734.68,899734.68,93.0,243.122581
100,67,Mode C,80.0,909734.0,909734.0,94.0,198.64885
100,67,Mode C,90.0,909734.0,909734.0,94.0,162.310574
100,67,Mode C,100.0,919733.21,919733.21,95.0,132.619556
100,67,Mode C,110.0,919733.21,919733.21,95.0,108.359833
100,67,Mode C,120.0,919733.21,919733.21,95.0,88.537873
100,67,Mode C,130.0,919733.21,919733.21,95.0,72.341888
100,67,Mode C,140.0,919733.21,919733.21,95.0,59.10859
100,67,Mode C,150.0,919733.21,919733.21,95.0,48.296021
100,67,Mode C,160.0,919733.21,919733.21,95.0,39.461366
100,67,Mode C,170.0,919733.21,919733.21,95.0,32.242809
100,67,Mode C,180.0,919733.21,919733.21,95.0,26.344722
100,67,Mode C,190.0,919733.21,919733.21,95.0,21.525556
200,1337,Mode A,10.0,1629584.75,1629584.75,168.0,817.072807
200,1337,Mode A,20.0,1699582.09,1699582.09,175.0,667.607972
200,1337,Mode A,30.0,1749582.54,1749582.54,180.0,545.484319
200,1337,Mode A,40.0,1769587.25,1769587.25,182.0,445.700404
200,1337,Mode A,50.0,1839578.14,1839578.14,189.0,364.16968
200,1337,Mode A,60.0,1839578.14,1839578.14,189.0,297.553143
200,1337,Mode A,70.0,1839578.14,1839578.14,189.0,243.122581
200,1337,Mode A,80.0,1849566.84,1849566.84,190.0,198.64885
200,1337,Mode A,90.0,1859576.52,1859576.52,191.0,162.310574
200,1337,Mode A,100.0,1869577.93,1869577.93,192.0,132.619556
200,1337,Mode A,110.0,1899580.26,1899580.26,195.0,108.359833
200,1337,Mode B,10.0,1699627.91,1699627.91,175.0,817.072807
200,1337,Mode B,20.0,1769626.99,1769626.99,182.0,667.607972
200,1337,Mode B,30.0,1809634.35,1809634.35,186.0,545.484319
200,1337,Mode B,40.0,1829641.21,1829641.21,188.0,445.700404
200,1337,Mode B,50.0,1839642.54,1839642.54,189.0,364.16968
200,1337,Mode B,60.0,1879681.47,1879681.47,193.0,297.553143
200,1337,Mode C,10.0,1424493.37,1424493.37,148.0,817.072807
200,1337,Mode C,20.0,1554495.46,1554495.46,161.0,667.607972
200,1337,Mode C,30.0,1624519.9,1624519.9,168.0,545.484319
200,1337,Mode C,40.0,1684474.0,1684474.0,174.0,445.700404
200,1337,Mode C,50.0,1694472.68,1694472.68,175.0,364.16968
200,1337,Mode C,60.0,1854455.99,1854455.99,191.0,297.553143
200,1337,Mode C,70.0,1874445.81,1874445.81,193.0,243.122581
200,1337,Mode C,80.0,1884447.75,1884447.75,194.0,198.64885
200,1337,Mode C,90.0,1904443.19,1904443.19,196.0,162.310574
200,1337,Mode C,100.0,1914441.36,1914441.36,197.0,132.619556
200,1337,Mode C,110.0,1914441.36,1914441.36,197.0,108.359833
200,1337,Mode C,120.0,1924444.07,1924444.07,198.0,88.537873
200,1337,Mode C,130.0,1934437.61,1934437.61,199.0,72.341888
200,1337,Mode C,140.0,1934437.61,1934437.61,199.0,59.10859
200,1337,Mode C,150.0,1934437.61,1934437.61,199.0,48.296021
200,1337,Mode C,160.0,1934437.61,1934437.61,199.0,39.461366
200,1337,Mode C,170.0,1934437.61,1934437.61,199.0,32.242809
